Negative,Neutral,Positive,company_name,year
0.010497805662453175,0.7107077836990356,0.27879446744918823,ACRX,2022.0
0.030140161514282227,0.9457268118858337,0.02413306199014187,ACST,2022.0
0.0328567810356617,0.9417864680290222,0.025356760248541832,ACST,2023.0
0.012359409593045712,0.8550236821174622,0.13261699676513672,ACT,2022.0
0.015347558073699474,0.5866349935531616,0.39801740646362305,ACTG,2022.0
0.010084075853228569,0.17222347855567932,0.8176924586296082,ACVA,2022.0
0.023969106376171112,0.9419652819633484,0.0340656116604805,ACXP,2022.0
0.00984590221196413,0.5406038761138916,0.44955018162727356,ADAP,2022.0
0.02180677279829979,0.8661064505577087,0.11208682507276535,ADBE,2022.0
0.013663931749761105,0.9098448753356934,0.07649113982915878,ADBE,2023.0
0.011485167779028416,0.7534812092781067,0.23503364622592926,ADC,2022.0
